Project Name,Directorate,Project  Estimated Completion Date,Project Classification,Category (Construction/Design/Early Planning/ICT/Plant & Equipment ),Project Type,Government Priority,Region ,2017-18 Budgeted Financing ($'000),2018-19 Budgeted Financing ($'000),2019-20 Budgeted Financing ($'000),2020-21 Budgeted Financing ($'000),Total Budgeted Financing ($'000),2016-17 Re-profiling ($'000) ,2017-18 Re-profiling ($'000) ,2018-19 Re-profiling ($'000) ,2019-20 Re-profiling ($'000) ,2020-21 Re-profiling ($'000) ,2015-16Section 16(b) Rollovers of unspent funds ($'000),2016-17 Variations ($'000),2016-17 Savings returned to Budget ($'000) ,Total Financing 2016-17 ($'000),Budget
City Station Early Planning,Justice and Community Safety Directorate,30 June 2017,Works-in-progress,Early Planning,Community Services,Better services in your community,Canberra Central,400,0,0,0,400,0,0,0,0,0,0,400,0,0,ACT Budget 2017-18
Data Storage Infrastructure ,"Chief Minister, Treasury and Economic Development Directorate",30 June 2017,Works-in-progress,ICT,Economic Growth,More and better jobs,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,653,0,0,1266,ACT Budget 2017-18
Infinity wiring replacement at the Canberra Theatre Centre,Cultural Facilities Corporation,30 June 2018,Works-in-progress,Construction,Environmental Measures,More and better jobs,Woden,300,0,0,0,300,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Critical Hospital Infrastructure Systems – Enhancing patient and staff safety ,Health Directorate,30 June 2018,Works-in-progress,Plant & Equipment ,Health Services,Better care when you need it,Whole of Canberra,800,0,0,0,800,-800,800,0,0,0,0,0,0,446,ACT Budget 2017-18
Dickson Group Centre Intersections – Upgrade,"Chief Minister, Treasury and Economic Development Directorate",31 December 2017,Works-in-progress,Construction,Urban Roads,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,328,0,0,878,ACT Budget 2017-18
Digital Canberra – ACT Government data warehouse and analytics framework,"Chief Minister, Treasury and Economic Development Directorate",30 June 2017,Works-in-progress,ICT,Economic Growth,More and better jobs,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,0,0,0,310,ACT Budget 2017-18
Digital Canberra – Protecting our data ,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,ICT,Economic Growth,More and better jobs,Whole of Canberra,310,0,0,0,310,0,0,0,0,0,0,0,0,310,ACT Budget 2017-18
Courts Public Private Partnership (PPP) – (Formerly called ACT Court Facilities Early Works Package),Justice and Community Safety Directorate,30 November 2018,Works-in-progress,Construction,Community Services,Better support when it matters,Canberra Central,5381,181,0,0,5562,-3377,3377,0,0,0,1852,0,0,2049,ACT Budget 2017-18
Building a better city – William Hovell Drive upgrade – Early planning,Environment Planning and Sustainable Development Directorate,30 June 2019,New Works,Early Planning,Major Roads,Building a better city,Woden,200,100,0,0,300,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Caring for our Environment – Establishing the Molonglo River Reserve Stage 3,Environment Planning and Sustainable Development Directorate,30 June 2019,Works-in-progress,Construction,Environmental Measures,Better services in your community,Woden,440,258,0,0,698,0,0,0,0,0,0,0,0,300,ACT Budget 2017-18
Disability Dual Occupancy Housing,Housing ACT,30 June 2017,Works-in-progress,Construction,Community Services,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,143,0,0,143,ACT Budget 2017-18
Disability Housing – Respite and Congregate Living Housing (Design),Community Services Directorate,30 June 2017,Works-in-progress,Design,Community Services,Better services in your community,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,20,0,0,57,ACT Budget 2017-18
Domestic Animal Services Incident Management System,Transport Canberra and City Services Directorate,30 June 2017,Works-in-progress,ICT,Urban Infrastructure,Better services in your community,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,26,0,0,210,ACT Budget 2017-18
Caring for our Environment – Improving species and habitat protection,Environment Planning and Sustainable Development Directorate,30 June 2019,Works-in-progress,Construction,Environmental Measures,Better services in your community,Whole of Canberra,959,857,257,72,2145,-182,170,-317,257,72,0,0,0,291,ACT Budget 2017-18
Electoral ICT Systems Upgrade for 2016 Election,Elections ACT ,30 October 2016,Works-in-progress,ICT,Economic Growth,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,22,0,0,70,ACT Budget 2017-18
Digital Canberra – New digital radio communication system,Justice and Community Safety Directorate,30 June 2018,Works-in-progress,ICT,Community Services,Better services in your community,Whole of Canberra,2333,0,0,0,2333,-158,158,0,0,0,0,0,0,358,ACT Budget 2017-18
Caring for our Environment – Tharwa fish habitat improvement,Environment Planning and Sustainable Development Directorate,30 June 2018,Works-in-progress,Construction,Environmental Measures,Building a better city,Tuggeranong,200,0,0,0,200,0,0,0,0,0,0,0,0,150,ACT Budget 2017-18
Enhancement of library collections,Transport Canberra and City Services Directorate,30 June 2021,Works-in-progress,Plant & Equipment ,Community Services,Better services in your community,Whole of Canberra,2063,2063,2063,2063,8252,0,0,0,0,0,-6,0,0,2057,ACT Budget 2017-18
Caring for our Environment – Water Quality Improvement – Contributions to the Basin Priority Project,Environment Planning and Sustainable Development Directorate,30 June 2019,Works-in-progress,Construction,Environmental Measures,Building a better city,Whole of Canberra,42300,14471,0,0,56771,7000,4250,-11250,0,0,0,0,0,20500,ACT Budget 2017-18
City Plan Implementation,Environment Planning and Sustainable Development Directorate,30 June 2017,Works-in-progress,Early Planning,Urban Infrastructure,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,104,ACT Budget 2017-18
Fyshwick Depot – Fuel storage tanks removal and site remediation,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Construction,Public Transport and Active Travel,Building a better city,Canberra Central,200,0,0,0,200,-200,200,0,0,0,-56,0,0,939,ACT Budget 2017-18
Government Budget Management System,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,ICT,Economic Growth,More and better jobs,Whole of Canberra,3177,0,0,0,3177,-3177,3177,0,0,0,1036,0,0,919,ACT Budget 2017-18
Emergency Services Agency (ESA) Station Upgrade and Relocation – Aranda Station,Justice and Community Safety Directorate,30 September 2016,Works-in-progress,Construction,Community Services,Better services in your community,Belconnen,0,0,0,0,0,-552,552,0,0,0,5500,-552,-2448,1857,ACT Budget 2017-18
ESA – Station Relocation and Upgrade – Phase 2 Due Diligence,Justice and Community Safety Directorate,30 June 2018,Works-in-progress,Design,Community Services,Better services in your community,Whole of Canberra,384,0,0,0,384,-384,384,0,0,0,264,-400,0,594,ACT Budget 2017-18
"ESA – Urban Search and Rescue and Chemical, Biological, Radiological and Nuclear Equipment Replacement",Justice and Community Safety Directorate,,Works-in-progress,Plant & Equipment ,Community Services,Better services in your community,Belconnen,222,111,111,111,555,-111,111,0,0,0,0,0,0,111,ACT Budget 2017-18
ESA Station Upgrade and Relocation – South Tuggeranong Station,Justice and Community Safety Directorate,31 March 2015,Works-in-progress,Construction,Community Services,Better services in your community,Tuggeranong,0,0,0,0,0,0,0,0,0,0,157,0,-154,0,ACT Budget 2017-18
Essential Waste Management Infrastructure,Transport Canberra and City Services Directorate,30 June 2017,Works-in-progress,Construction,Environmental Measures,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,2408,0,0,15801,ACT Budget 2017-18
Expansion of the Assembly,Office of the Legislative Assembly,30 June 2016,Works-in-progress,Construction,Economic Growth,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,150,-218,0,652,ACT Budget 2017-18
Integrated Cancer Centre – Phase 2,Health Directorate,30 June 2016,Works-in-progress,Construction,Health Services,Better care when you need it,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,28,0,0,26,ACT Budget 2017-18
Expansion of the rapid bus network,Transport Canberra and City Services Directorate,30 June 2019,Works-in-progress,Plant & Equipment ,Community Services,Better services in your community,Whole of Canberra,21870,21930,0,0,43800,,,,,,,0,0,0,ACT Budget 2017-18
Government Office Accommodation and Relocation Fitout,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Construction,Economic Growth,Building a better city,Whole of Canberra,300,0,0,0,300,-300,300,0,0,0,738,0,0,938,ACT Budget 2017-18
Garbage and Recycling Bin Replacement Program,Transport Canberra and City Services Directorate,30 June 2018,Works-in-progress,Plant & Equipment ,Environmental Measures,Better services in your community,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,6,0,0,506,ACT Budget 2017-18
Grant for Development of a New Basketball Centre and Player Amenities,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Grant,Urban Infrastructure,Building a better city,Whole of Canberra,65,0,0,0,65,-190,190,0,0,0,263,0,0,1311,ACT Budget 2017-18
Greenway Oval Improvements (Design),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Design,,,,0,0,0,0,0,0,0,0,0,0,3,0,-3,0,ACT Budget 2017-18
Gungahlin Enclosed Oval – Construction of a Grandstand,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,114,0,-114,0,ACT Budget 2017-18
City to the Lake – New Civic Pool ,Environment Planning and Sustainable Development Directorate,30 June 2018,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Canberra Central,400,0,0,0,400,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Gungahlin Enclosed Oval (Sports Complex),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,72,0,-72,0,ACT Budget 2017-18
Ground Floor North Building Refurbishment – Stage 1,Elections ACT,30 January 2017,Works-in-progress,Plant & Equipment ,Economic Growth,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,32,0,0,32,ACT Budget 2017-18
Gungahlin College,Education Directorate,30 June 2016,Works-in-progress,Construction,Education,Better schools for our kids,Gungahlin,0,0,0,0,0,0,0,0,0,0,45,0,0,15,ACT Budget 2017-18
Gungahlin Leisure Centre (Design),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Design,,,,0,0,0,0,0,0,0,0,0,0,428,0,-428,0,ACT Budget 2017-18
Gungahlin Town Centre Roads (Design),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Works-in-progress,Design,Urban Roads,Building a better city,Gungahlin,0,0,0,0,0,0,0,0,0,0,33,0,0,33,ACT Budget 2017-18
ESA Vehicle Replacement Program ,Justice and Community Safety Directorate,31 July 2017,Works-in-progress,Plant & Equipment ,Community Services,Better support when it matters,Canberra Central,2297,2011,2011,2011,8330,-207,207,0,0,0,0,0,0,2038,ACT Budget 2017-18
Holder Early Childhood Centre,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,371,0,-371,0,ACT Budget 2017-18
Holt Preschool Refurbishment,"Chief Minister, Treasury and Economic Development Directorate",31 May 2017,Works-in-progress,Construction,Education,Better schools for our kids,Belconnen,0,0,0,0,0,0,0,0,0,0,61,0,0,61,ACT Budget 2017-18
Hazardous Material Removal Program – Stage 3,Education Directorate,30 June 2017,Works-in-progress,Construction,Education,Better schools for our kids,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,485,0,0,985,ACT Budget 2017-18
Health Infrastructure Program – Project management continuation,Health Directorate,30 June 2016,Works-in-progress,Construction,Health Services,Better care when you need it,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,0,-3086,0,5969,ACT Budget 2017-18
Horse Park Drive Extension to Moncrieff Group Centre,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,-7,0,7,0,ACT Budget 2017-18
Horse Park Drive Water Quality Control Pond,"Chief Minister, Treasury and Economic Development Directorate",28 February 2017,Works-in-progress,Construction,Environmental Measures,Better services in your community,Gungahlin,0,0,0,0,0,0,0,0,0,0,47,0,0,47,ACT Budget 2017-18
"iConnect – CRM, Secure Online Correspondence, Authentification, Identity and Access Management for customers","Chief Minister, Treasury and Economic Development Directorate",30 June 2019,Works-in-progress,ICT,Economic Growth,More and better jobs,Whole of Canberra,5852,1673,0,0,7525,1788,-1788,0,0,0,952,0,0,9243,ACT Budget 2017-18
ICT Sustainability – Desktop computer and printer energy management,"Chief Minister, Treasury and Economic Development Directorate",31 December 2016,Works-in-progress,ICT,Economic Growth,More and better jobs,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
ICT Transformation – Hybrid cloud computing,"Chief Minister, Treasury and Economic Development Directorate",30 June 2019,Works-in-progress,ICT,Economic Growth,More and better jobs,Whole of Canberra,500,500,0,0,1000,-4800,1760,3040,0,0,0,0,0,0,ACT Budget 2017-18
Improved Arts Facilities for Canberra – Street Theatre,"Chief Minister, Treasury and Economic Development Directorate",30 June 2017,Works-in-progress,Plant & Equipment ,Community Services,More and better jobs,Canberra Central,0,0,0,0,0,180,-180,0,0,0,0,0,0,180,ACT Budget 2017-18
Improving Art Facilities – Safety upgrades,"Chief Minister, Treasury and Economic Development Directorate",30 June 2017,Works-in-progress,Plant & Equipment ,Urban Infrastructure,More and better jobs,Canberra Central,0,0,0,0,0,0,0,0,0,0,178,0,0,247,ACT Budget 2017-18
Improving Community Facilities – Building refurbishments and upgrades in Tuggeranong,"Chief Minister, Treasury and Economic Development Directorate",31 May 2017,Works-in-progress,Early Planning,Urban Infrastructure,More and better jobs,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,100,ACT Budget 2017-18
Improving Our City – Woden bus interchange improvements,"Chief Minister, Treasury and Economic Development Directorate",30 June 2017,Works-in-progress,Construction,Public Transport and Active Travel,Better services in your community,Woden,0,0,0,0,0,-150,150,0,0,0,0,0,0,150,ACT Budget 2017-18
Improving Our Suburbs – New Molonglo Valley infrastructure ,"Chief Minister, Treasury and Economic Development Directorate",30 June 2019,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Woden,9552,23370,0,0,32922,-5552,-3448,9000,0,0,0,0,0,48,ACT Budget 2017-18
Improving Road Safety – Traffic camera adjudication system upgrades,"Chief Minister, Treasury and Economic Development Directorate",31 December 2017,Works-in-progress,ICT,Urban Roads,Building a better city,Canberra Central,1160,0,0,0,1160,-1160,1160,0,0,0,0,0,0,0,ACT Budget 2017-18
Improved Arts Facilities for Canberra – Canberra Theatre Centre,Cultural Facilities Corporation,30 June 2018,Works-in-progress,Plant & Equipment ,Community Services,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,410,ACT Budget 2017-18
Invoice Automation,"Chief Minister, Treasury and Economic Development Directorate",30 June 2017,Works-in-progress,ICT,Economic Growth,Better services in your community,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,0,0,0,1351,ACT Budget 2017-18
Improved Infrastructure for Acute Aged Care and Cancer Inpatients,Health Directorate,30 June 2019,Works-in-progress,Construction,Health Services,Better care when you need it,Whole of Canberra,10000,7310,0,0,17310,0,0,0,0,0,0,2200,0,2200,ACT Budget 2017-18
Improved Waste Resource Recovery,Transport Canberra and City Services Directorate,30 June 2017,Works-in-progress,Early Planning,Environmental Measures,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,473,0,0,1633,ACT Budget 2017-18
Isabella Weir Spillway – Upgrades feasibility,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Early Planning,,,,0,0,0,0,0,0,0,0,0,0,-145,0,145,0,ACT Budget 2017-18
Isabella Weir Spillway Upgrades,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Construction,Environmental Measures,Better services in your community,Tuggeranong,7688,0,0,0,7688,-753,753,0,0,0,366,0,0,913,ACT Budget 2017-18
John Gorton Drive Extension to Molonglo 2 and Group Centre,"Chief Minister, Treasury and Economic Development Directorate",31 August 2016,Works-in-progress,Construction,Major Roads,Building a better city,Woden,0,0,0,0,0,0,0,0,0,0,-47,0,0,153,ACT Budget 2017-18
Digital Canberra – New digital radio communication system,Environment Planning and Sustainable Development Directorate,31 December 2017,Works-in-progress,ICT,Economic Growth,Better services in your community,Whole of Canberra,1130,0,0,0,1130,-970,970,0,0,0,0,0,0,30,ACT Budget 2017-18
Improving Our Suburbs – Green bins pilot program,Transport Canberra and City Services Directorate,30 June 2018,Works-in-progress,Plant & Equipment ,Environmental Measures,Better services in your community,Whole of Canberra,227,0,0,0,227,0,0,0,0,0,0,0,0,227,ACT Budget 2017-18
Improving Our Suburbs – Local shopping centre upgrades,Transport Canberra and City Services Directorate,31 October 2017,Works-in-progress,Early Planning,Urban Infrastructure,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,475,ACT Budget 2017-18
"Kenny – Floodways, Road Access and Basins (Design)","Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Design,,,,0,0,0,0,0,0,0,0,0,0,-14,0,14,0,ACT Budget 2017-18
Kingston Foreshore – Structured Carpark (Feasibility),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Early Planning,,,,0,0,0,0,0,0,0,0,0,0,34,0,-34,0,ACT Budget 2017-18
Digital Canberra – Upgrade of the ACT Government spatial data management system ,Environment Planning and Sustainable Development Directorate,30 June 2018,Works-in-progress,ICT,Economic Growth,More and better jobs,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,0,0,0,350,ACT Budget 2017-18
Kingston Foreshore Parking (Design),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Design,,,,0,0,0,0,0,0,0,0,0,0,119,0,-119,0,ACT Budget 2017-18
Kingston Visual Arts Hub (Early Planning),"Chief Minister, Treasury and Economic Development Directorate",30 June 2017,Works-in-progress,Early Planning,Community Services,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,30,0,0,26,ACT Budget 2017-18
Land Title Business System Modernisation ,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,ICT,Economic Growth,Better services in your community,Whole of Canberra,1041,0,0,0,1041,-1041,1041,0,0,0,139,0,0,613,ACT Budget 2017-18
Lyneham Sports Precinct – Central Amenities (Design),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Design,,,,0,0,0,0,0,0,0,0,0,0,-27,0,-394,0,ACT Budget 2017-18
Lyneham Sports Precinct Redevelopment – Stage 3,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Canberra Central,0,0,0,0,0,-490,490,0,0,0,-82,0,0,-250,ACT Budget 2017-18
Kingston – Wentworth Avenue Pavement Rehabilitation Stage 2 (Design),Transport Canberra and City Services Directorate,30 June 2016,Works-in-progress,Design,Urban Infrastructure,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,ACT Budget 2017-18
Majura Parkway Estate Development (Design),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Design,,,,0,0,0,0,0,0,0,0,0,0,2,0,-2,0,ACT Budget 2017-18
Majura Parkway to Majura Road – Link road ,"Chief Minister, Treasury and Economic Development Directorate",30 June 2019,Works-in-progress,Construction,Major Roads,Building a better city,Canberra Central,3059,2000,0,0,5059,-2633,633,2000,0,0,477,0,0,4344,ACT Budget 2017-18
Manuka Oval Cricket Broadcast and Media Facilities ,"Chief Minister, Treasury and Economic Development Directorate",30 November 2018,Works-in-progress,Design,Urban Infrastructure,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,320,0,320,ACT Budget 2017-18
Megalo Print Studio Relocation,"Chief Minister, Treasury and Economic Development Directorate",30 September 2016,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,ACT Budget 2017-18
Light Rail – Stage 1 – Procurement and delivery,Transport Canberra and City Services Directorate,30 June 2019,Works-in-progress,Construction,Public Transport and Active Travel,Building a better city,Canberra Central,17211,9884,0,0,27095,-5026,5026,0,0,0,1474,0,0,11782,ACT Budget 2017-18
Local Shopping Centre Upgrades Program,Transport Canberra and City Services Directorate,30 June 2017,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,200,0,0,250,ACT Budget 2017-18
Mitchell – Capital Linen – Replacement of HVAC System,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Plant & Equipment ,,,,0,0,0,0,0,0,0,0,0,0,31,0,-31,0,ACT Budget 2017-18
Lyneham Sports Precinct Redevelopment – Stage 3,Transport Canberra and City Services Directorate,30 June 2018,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Canberra Central,490,0,0,0,490,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Molonglo 2 – East-West Arterial Road and Services Extension to Cravens Creek (Design),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,-3,0,3,0,ACT Budget 2017-18
Major Building Plant Replacement and Upgrade,Health Directorate,30 June 2018,Works-in-progress,Plant & Equipment ,Health Services,Better care when you need it,Whole of Canberra,450,0,0,0,450,-450,450,0,0,0,722,0,0,272,ACT Budget 2017-18
Majura Off Road Shared Path,Transport Canberra and City Services Directorate,30 June 2016,Works-in-progress,Construction,Major Roads,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,1140,0,0,99,ACT Budget 2017-18
Molonglo 2 – Sewer and Pedestrian Bridge over Molonglo River,"Chief Minister, Treasury and Economic Development Directorate",31 December 2017,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Woden,766,0,0,0,766,-766,766,0,0,0,376,0,0,10,ACT Budget 2017-18
Majura Parkway Post – Completion Review,Transport Canberra and City Services Directorate,30 June 2017,Works-in-progress,Construction,Major Roads,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Gungahlin Joint Emergency Services Centre – Future use study,Justice and Community Safety Directorate,30 June 2017,Works-in-progress,Early Planning,Community Services,Better support when it matters,Gungahlin,0,0,0,0,0,0,0,0,0,0,0,0,0,88,ACT Budget 2017-18
Molonglo 2 – Uriarra Road Upgrade,"Chief Minister, Treasury and Economic Development Directorate",31 December 2017,Works-in-progress,Construction,Major Roads,Building a better city,Woden,111,0,0,0,111,-111,111,0,0,0,171,0,0,560,ACT Budget 2017-18
"Molonglo 2 – Water Quality Control Ponds, Sewers and Cycle path (Design)","Chief Minister, Treasury and Economic Development Directorate",30 June 2019,Works-in-progress,Design,Urban Infrastructure,Building a better city,Woden,0,709,0,0,709,-353,-356,709,0,0,-52,0,0,0,ACT Budget 2017-18
"Molonglo 2 – Water Supply, Trunk Sewer and Stormwater Infrastructure – Stage 1","Chief Minister, Treasury and Economic Development Directorate",31 December 2017,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Woden,65,0,0,0,65,-65,65,0,0,0,115,0,0,550,ACT Budget 2017-18
Molonglo 3 – Hydraulic Services Concept Master planning (Early Planning),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Works-in-progress,Early Planning,Urban Infrastructure,Building a better city,Woden,0,0,0,0,0,0,0,0,0,0,-262,0,0,-262,ACT Budget 2017-18
Molonglo 3 – Major Electrical Infrastructure Relocation (Early Planning),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Works-in-progress,Early Planning,Urban Infrastructure,Building a better city,Woden,0,0,0,0,0,0,0,0,0,0,50,0,0,50,ACT Budget 2017-18
Molonglo 3 – Preliminary Geotechnical Investigation (Feasibility),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Early Planning,,,,0,0,0,0,0,0,0,0,0,0,80,0,-80,0,ACT Budget 2017-18
Molonglo Infrastructure Investment,"Chief Minister, Treasury and Economic Development Directorate",31 December 2017,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Woden,588,0,0,0,588,-588,588,0,0,0,88,0,0,1100,ACT Budget 2017-18
Molonglo Valley – Implementation of Commitments in the NES Plan,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,-120,0,120,0,ACT Budget 2017-18
More and better jobs – Ensuring continuity of the Human Resources Information Management System,"Chief Minister, Treasury and Economic Development Directorate",30 June 2020,New Works,ICT,Economic Growth,More and better jobs,Whole of Canberra,2750,5500,2750,0,11000,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
More and better jobs – Modernising government ICT infrastructure,"Chief Minister, Treasury and Economic Development Directorate",30 June 2021,New Works,ICT,Economic Growth,More and better jobs,Whole of Canberra,2527,4853,3609,4012,15001,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
More and better jobs – Canberra Theatre Complex community consultation,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,New Works,Early Planning,Economic Growth,More and better jobs,Canberra Central,100,0,0,0,100,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
More and better jobs – Expanding Belconnen Arts Centre,"Chief Minister, Treasury and Economic Development Directorate",30 June 2020,New Works,Construction,Economic Growth,More and better jobs,Belconnen,1282,7417,6301,0,15000,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
East Lake – Planning and Design Framework Implementation (Early Planning),Environment Planning and Sustainable Development Directorate,30 June 2017,Works-in-progress,Early Planning,Urban Infrastructure,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,64,ACT Budget 2017-18
More and better jobs – Improving Manuka Oval broadcast and media facilities,"Chief Minister, Treasury and Economic Development Directorate",30 June 2019,New Works,Construction,Economic Growth,More and better jobs,Canberra Central,7700,3900,0,0,11600,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Enhancement of eDevelopment Interface,Environment Planning and Sustainable Development Directorate,30 June 2018,Works-in-progress,ICT,Economic Growth,More and better jobs,Whole of Canberra,190,0,0,0,190,-190,190,0,0,0,0,0,0,544,ACT Budget 2017-18
Enhancing the Protection of Endangered Species and Habitat,Environment Planning and Sustainable Development Directorate,30 June 2019,Works-in-progress,Construction,Environmental Measures,Better services in your community,Whole of Canberra,3506,619,0,0,4125,-2404,1785,619,0,0,57,0,0,1483,ACT Budget 2017-18
More and better jobs – Sporting capital,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,New Works,Construction,Economic Growth,More and better jobs,Whole of Canberra,125,0,0,0,125,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Environmental Offsets – Gungahlin (EPIC),Environment Planning and Sustainable Development Directorate,30 June 2017,Works-in-progress,Construction,Environmental Measures,Better services in your community,Gungahlin,0,0,0,0,0,0,0,0,0,0,14,0,-156,164,ACT Budget 2017-18
Environmental Offsets – Lawson South,Environment Planning and Sustainable Development Directorate,30 June 2019,Works-in-progress,Construction,Environmental Measures,Better services in your community,Belconnen,161,197,0,0,358,-293,96,197,0,0,18,0,0,191,ACT Budget 2017-18
More Efficient Public Service Administration – Long service leave calculations,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,ICT,Economic Growth,More and better jobs,Whole of Canberra,1016,0,0,0,1016,-1016,1016,0,0,0,0,0,0,867,ACT Budget 2017-18
2017–18 Better Infrastructure Fund ,Health Directorate,30 June 2018,Better Infrastructure Fund,BIF ,BIF ,Better care when you need it,Whole of Canberra,5089,5216,5347,5480,21132,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
More Men's Sheds,"Chief Minister, Treasury and Economic Development Directorate",31 May 2017,Works-in-progress,Early Planning,Community Services,Better services in your community,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,87,0,0,133,ACT Budget 2017-18
Motorsport Funding,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,295,-320,-295,0,ACT Budget 2017-18
