"MB_CODE_2011","LGA_CODE_2011","LGA_NAME_2011","STATE_CODE_2011","STATE_NAME_2011","AREA_ALBERS_SQKM"
"80002360000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0165467
"80002370000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00514571
"80002380000","89399","Unincorporated ACT","8","Australian Capital Territory",0.106569
"80002390000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0586326
"80002400000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0217049
"80002410000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0580017
"80002420000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0799552
"80002430000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0908043
"80002440000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0461946
"80002450000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0526697
"80002461000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0525826
"80002462000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0247723
"80002463000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0206467
"80002471000","89399","Unincorporated ACT","8","Australian Capital Territory",0.172013
"80002472000","89399","Unincorporated ACT","8","Australian Capital Territory",0.145495
"80002473000","89399","Unincorporated ACT","8","Australian Capital Territory",0.114857
"80002474000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0404947
"80002480000","89399","Unincorporated ACT","8","Australian Capital Territory",0.178849
"80002490000","89399","Unincorporated ACT","8","Australian Capital Territory",0.016507
"80002500000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0106744
"80002510000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00908203
"80002520000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00497395
"80002530000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00460783
"80002540000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00520931
"80002550000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00388771
"80002560000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0100947
"80002573000","89399","Unincorporated ACT","8","Australian Capital Territory",0.015749
"80002580000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0104832
"80002590000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00755206
"80002600000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00833394
"80002610000","89399","Unincorporated ACT","8","Australian Capital Territory",0.190016
"80002620000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00419674
"80002630000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0270267
"80002640000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00929476
"80002650000","89399","Unincorporated ACT","8","Australian Capital Territory",0.010752
"80002660000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0166868
"80002670000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00830424
"80002680000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00615878
"80002690000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00905623
"80002700000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00901251
"80002710000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0180068
"80002720000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00828889
"80002730000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00366859
"80002740000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0105049
"80002750000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00570382
"80002760000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00740106
"80002770000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0124711
"80002780000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00656072
"80002791000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00884147
"80002792000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00598425
"80002810000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0247289
"80002820000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00353642
"80002830000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00937608
"80002840000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00321689
"80002850000","89399","Unincorporated ACT","8","Australian Capital Territory",0.003969
"80002860000","89399","Unincorporated ACT","8","Australian Capital Territory",0.611707
"80002870000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00958722
"80002880000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0127016
"80002890000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0067547
"80002900000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00610545
"80002911000","89399","Unincorporated ACT","8","Australian Capital Territory",0.206059
"80002912000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0894007
"80002913000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0524192
