Census,School Name,Category,Year Level,Students
17 February 2016,Franklin Early Childhood School,Gov,Preschool,143
17 February 2016,Franklin Early Childhood School,Gov,Kindergarten,67
17 February 2016,Franklin Early Childhood School,Gov,01,48
17 February 2016,Franklin Early Childhood School,Gov,02,32
17 February 2016,Fraser Primary School,Gov,Preschool,65
17 February 2016,Fraser Primary School,Gov,Kindergarten,62
17 February 2016,Fraser Primary School,Gov,01,59
17 February 2016,Fraser Primary School,Gov,02,59
17 February 2016,Fraser Primary School,Gov,03,64
17 February 2016,Fraser Primary School,Gov,04,56
17 February 2016,Fraser Primary School,Gov,05,55
17 February 2016,Fraser Primary School,Gov,06,46
17 February 2016,Garran Primary School,Gov,Preschool,45
17 February 2016,Garran Primary School,Gov,Kindergarten,73
17 February 2016,Garran Primary School,Gov,01,81
17 February 2016,Garran Primary School,Gov,02,86
17 February 2016,Garran Primary School,Gov,03,80
17 February 2016,Garran Primary School,Gov,04,74
17 February 2016,Garran Primary School,Gov,05,90
17 February 2016,Garran Primary School,Gov,06,67
17 February 2016,Gilmore Primary School,Gov,Preschool,12
17 February 2016,Gilmore Primary School,Gov,Kindergarten,18
17 February 2016,Gilmore Primary School,Gov,01,14
17 February 2016,Gilmore Primary School,Gov,02,14
17 February 2016,Gilmore Primary School,Gov,03,10
17 February 2016,Gilmore Primary School,Gov,04,15
17 February 2016,Gilmore Primary School,Gov,05,14
17 February 2016,Gilmore Primary School,Gov,06,8
17 February 2016,Giralang Primary School,Gov,Preschool,62
17 February 2016,Giralang Primary School,Gov,Kindergarten,57
17 February 2016,Giralang Primary School,Gov,01,41
17 February 2016,Giralang Primary School,Gov,02,32
17 February 2016,Giralang Primary School,Gov,03,54
17 February 2016,Giralang Primary School,Gov,04,26
17 February 2016,Giralang Primary School,Gov,05,35
17 February 2016,Giralang Primary School,Gov,06,24
17 February 2016,Gold Creek School,Gov,Preschool,124
17 February 2016,Gold Creek School,Gov,Kindergarten,84
17 February 2016,Gold Creek School,Gov,01,86
17 February 2016,Gold Creek School,Gov,02,71
17 February 2016,Gold Creek School,Gov,03,75
17 February 2016,Gold Creek School,Gov,04,81
17 February 2016,Gold Creek School,Gov,05,72
17 February 2016,Gold Creek School,Gov,06,71
17 February 2016,Gold Creek School,Gov,07,146
17 February 2016,Gold Creek School,Gov,08,131
17 February 2016,Gold Creek School,Gov,09,127
17 February 2016,Gold Creek School,Gov,10,145
17 February 2016,Gordon Primary School,Gov,Preschool,105
17 February 2016,Gordon Primary School,Gov,Kindergarten,67
17 February 2016,Gordon Primary School,Gov,01,66
17 February 2016,Gordon Primary School,Gov,02,65
17 February 2016,Gordon Primary School,Gov,03,49
17 February 2016,Gordon Primary School,Gov,04,62
17 February 2016,Gordon Primary School,Gov,05,57
17 February 2016,Gordon Primary School,Gov,06,44
17 February 2016,Gowrie Primary School,Gov,Preschool,43
17 February 2016,Gowrie Primary School,Gov,Kindergarten,42
17 February 2016,Gowrie Primary School,Gov,01,48
17 February 2016,Gowrie Primary School,Gov,02,24
17 February 2016,Gowrie Primary School,Gov,03,34
17 February 2016,Gowrie Primary School,Gov,04,28
17 February 2016,Gowrie Primary School,Gov,05,34
17 February 2016,Gowrie Primary School,Gov,06,28
17 February 2016,Gungahlin College,Gov,10,24
17 February 2016,Gungahlin College,Gov,11,570
17 February 2016,Gungahlin College,Gov,12,458
17 February 2016,Harrison School,Gov,Preschool,150
17 February 2016,Harrison School,Gov,Kindergarten,168
17 February 2016,Harrison School,Gov,01,169
17 February 2016,Harrison School,Gov,02,149
17 February 2016,Harrison School,Gov,03,147
17 February 2016,Harrison School,Gov,04,166
17 February 2016,Harrison School,Gov,05,160
17 February 2016,Harrison School,Gov,06,135
17 February 2016,Harrison School,Gov,07,129
17 February 2016,Harrison School,Gov,08,101
17 February 2016,Harrison School,Gov,09,109
17 February 2016,Harrison School,Gov,10,108
17 February 2016,Hawker College,Gov,11,235
17 February 2016,Hawker College,Gov,12,201
17 February 2016,Hawker Primary School,Gov,Preschool,42
17 February 2016,Hawker Primary School,Gov,Kindergarten,47
17 February 2016,Hawker Primary School,Gov,01,54
17 February 2016,Hawker Primary School,Gov,02,51
17 February 2016,Hawker Primary School,Gov,03,39
17 February 2016,Hawker Primary School,Gov,04,46
17 February 2016,Hawker Primary School,Gov,05,48
17 February 2016,Hawker Primary School,Gov,06,49
17 February 2016,Hughes Primary School,Gov,Preschool,38
17 February 2016,Hughes Primary School,Gov,Kindergarten,62
17 February 2016,Hughes Primary School,Gov,01,61
17 February 2016,Hughes Primary School,Gov,02,61
17 February 2016,Hughes Primary School,Gov,03,69
17 February 2016,Hughes Primary School,Gov,04,57
17 February 2016,Hughes Primary School,Gov,05,58
17 February 2016,Hughes Primary School,Gov,06,54
17 February 2016,Isabella Plains Early Childhood School,Gov,Preschool,76
17 February 2016,Isabella Plains Early Childhood School,Gov,Kindergarten,49
17 February 2016,Isabella Plains Early Childhood School,Gov,01,35
17 February 2016,Isabella Plains Early Childhood School,Gov,02,21
17 February 2016,Jervis Bay School,Gov,Preschool,26
17 February 2016,Jervis Bay School,Gov,Kindergarten,8
17 February 2016,Jervis Bay School,Gov,01,4
17 February 2016,Jervis Bay School,Gov,02,7
17 February 2016,Jervis Bay School,Gov,03,10
17 February 2016,Jervis Bay School,Gov,04,10
17 February 2016,Jervis Bay School,Gov,05,8
17 February 2016,Jervis Bay School,Gov,06,4
17 February 2016,Kaleen Primary School,Gov,Preschool,65
17 February 2016,Kaleen Primary School,Gov,Kindergarten,94
17 February 2016,Kaleen Primary School,Gov,01,82
17 February 2016,Kaleen Primary School,Gov,02,76
17 February 2016,Kaleen Primary School,Gov,03,82
17 February 2016,Kaleen Primary School,Gov,04,76
17 February 2016,Kaleen Primary School,Gov,05,73
17 February 2016,Kaleen Primary School,Gov,06,72
17 February 2016,Kingsford Smith School,Gov,Preschool,74
17 February 2016,Kingsford Smith School,Gov,Kindergarten,72
17 February 2016,Kingsford Smith School,Gov,01,75
17 February 2016,Kingsford Smith School,Gov,02,65
17 February 2016,Kingsford Smith School,Gov,03,70
17 February 2016,Kingsford Smith School,Gov,04,66
17 February 2016,Kingsford Smith School,Gov,05,63
17 February 2016,Kingsford Smith School,Gov,06,72
17 February 2016,Kingsford Smith School,Gov,07,80
17 February 2016,Kingsford Smith School,Gov,08,71
17 February 2016,Kingsford Smith School,Gov,09,86
17 February 2016,Kingsford Smith School,Gov,10,80
17 February 2016,Koori Preschool,Gov,Preschool,78
17 February 2016,Lake Tuggeranong College,Gov,09,1
17 February 2016,Lake Tuggeranong College,Gov,10,11
17 February 2016,Lake Tuggeranong College,Gov,11,388
17 February 2016,Lake Tuggeranong College,Gov,12,393
17 February 2016,Lake Tuggeranong College,Gov,Older,2
17 February 2016,Lanyon High School,Gov,07,84
17 February 2016,Lanyon High School,Gov,08,69
17 February 2016,Lanyon High School,Gov,09,93
17 February 2016,Lanyon High School,Gov,10,95
17 February 2016,Latham Primary School,Gov,Preschool,44
17 February 2016,Latham Primary School,Gov,Kindergarten,36
17 February 2016,Latham Primary School,Gov,01,42
17 February 2016,Latham Primary School,Gov,02,40
17 February 2016,Latham Primary School,Gov,03,45
17 February 2016,Latham Primary School,Gov,04,38
17 February 2016,Latham Primary School,Gov,05,47
17 February 2016,Latham Primary School,Gov,06,29
17 February 2016,Lyneham High School,Gov,07,274
17 February 2016,Lyneham High School,Gov,08,260
17 February 2016,Lyneham High School,Gov,09,259
17 February 2016,Lyneham High School,Gov,10,272
17 February 2016,Lyneham Primary School,Gov,Preschool,58
17 February 2016,Lyneham Primary School,Gov,Kindergarten,64
17 February 2016,Lyneham Primary School,Gov,01,66
17 February 2016,Lyneham Primary School,Gov,02,54
17 February 2016,Lyneham Primary School,Gov,03,61
17 February 2016,Lyneham Primary School,Gov,04,48
17 February 2016,Lyneham Primary School,Gov,05,75
17 February 2016,Lyneham Primary School,Gov,06,54
17 February 2016,Lyons Early Childhood School,Gov,Preschool,57
17 February 2016,Lyons Early Childhood School,Gov,Kindergarten,42
17 February 2016,Lyons Early Childhood School,Gov,01,34
17 February 2016,Lyons Early Childhood School,Gov,02,28
17 February 2016,Macgregor Primary School,Gov,Preschool,76
17 February 2016,Macgregor Primary School,Gov,Kindergarten,77
17 February 2016,Macgregor Primary School,Gov,01,92
17 February 2016,Macgregor Primary School,Gov,02,68
17 February 2016,Macgregor Primary School,Gov,03,72
17 February 2016,Macgregor Primary School,Gov,04,80
17 February 2016,Macgregor Primary School,Gov,05,52
17 February 2016,Macgregor Primary School,Gov,06,53
17 February 2016,Macquarie Primary School,Gov,Preschool,44
17 February 2016,Macquarie Primary School,Gov,Kindergarten,45
17 February 2016,Macquarie Primary School,Gov,01,55
17 February 2016,Macquarie Primary School,Gov,02,35
17 February 2016,Macquarie Primary School,Gov,03,53
17 February 2016,Macquarie Primary School,Gov,04,55
17 February 2016,Macquarie Primary School,Gov,05,50
17 February 2016,Macquarie Primary School,Gov,06,44
17 February 2016,Majura Primary School,Gov,Preschool,84
17 February 2016,Majura Primary School,Gov,Kindergarten,76
17 February 2016,Majura Primary School,Gov,01,77
17 February 2016,Majura Primary School,Gov,02,81
17 February 2016,Majura Primary School,Gov,03,59
17 February 2016,Majura Primary School,Gov,04,77
17 February 2016,Majura Primary School,Gov,05,72
17 February 2016,Majura Primary School,Gov,06,74
17 February 2016,Malkara School,Gov,Preschool,12
17 February 2016,Malkara School,Gov,Kindergarten,13
17 February 2016,Malkara School,Gov,01,11
17 February 2016,Malkara School,Gov,02,3
17 February 2016,Malkara School,Gov,03,6
17 February 2016,Malkara School,Gov,04,14
17 February 2016,Malkara School,Gov,05,10
17 February 2016,Malkara School,Gov,06,14
17 February 2016,Maribyrnong Primary School,Gov,Preschool,85
17 February 2016,Maribyrnong Primary School,Gov,Kindergarten,62
17 February 2016,Maribyrnong Primary School,Gov,01,46
17 February 2016,Maribyrnong Primary School,Gov,02,58
17 February 2016,Maribyrnong Primary School,Gov,03,28
17 February 2016,Maribyrnong Primary School,Gov,04,36
17 February 2016,Maribyrnong Primary School,Gov,05,34
17 February 2016,Maribyrnong Primary School,Gov,06,28
17 February 2016,Mawson Primary School,Gov,Preschool,61
17 February 2016,Mawson Primary School,Gov,Kindergarten,69
17 February 2016,Mawson Primary School,Gov,01,54
17 February 2016,Mawson Primary School,Gov,02,61
17 February 2016,Mawson Primary School,Gov,03,55
17 February 2016,Mawson Primary School,Gov,04,40
17 February 2016,Mawson Primary School,Gov,05,39
17 February 2016,Mawson Primary School,Gov,06,41
17 February 2016,Melba Copland Secondary School,Gov,07,118
17 February 2016,Melba Copland Secondary School,Gov,08,98
17 February 2016,Melba Copland Secondary School,Gov,09,79
17 February 2016,Melba Copland Secondary School,Gov,10,111
17 February 2016,Melba Copland Secondary School,Gov,11,73
17 February 2016,Melba Copland Secondary School,Gov,12,84
17 February 2016,Melba Copland Secondary School,Gov,Older,1
17 February 2016,Melrose High School,Gov,07,190
17 February 2016,Melrose High School,Gov,08,189
17 February 2016,Melrose High School,Gov,09,161
17 February 2016,Melrose High School,Gov,10,201
17 February 2016,Miles Franklin Primary School,Gov,Preschool,87
17 February 2016,Miles Franklin Primary School,Gov,Kindergarten,66
17 February 2016,Miles Franklin Primary School,Gov,01,70
17 February 2016,Miles Franklin Primary School,Gov,02,77
17 February 2016,Miles Franklin Primary School,Gov,03,71
17 February 2016,Miles Franklin Primary School,Gov,04,57
17 February 2016,Miles Franklin Primary School,Gov,05,53
17 February 2016,Miles Franklin Primary School,Gov,06,53
17 February 2016,Monash Primary School,Gov,Preschool,66
17 February 2016,Monash Primary School,Gov,Kindergarten,53
17 February 2016,Monash Primary School,Gov,01,64
17 February 2016,Monash Primary School,Gov,02,63
17 February 2016,Monash Primary School,Gov,03,54
17 February 2016,Monash Primary School,Gov,04,60
17 February 2016,Monash Primary School,Gov,05,58
17 February 2016,Monash Primary School,Gov,06,39
17 February 2016,Mount Rogers Primary School,Gov,Preschool,109
17 February 2016,Mount Rogers Primary School,Gov,Kindergarten,77
17 February 2016,Mount Rogers Primary School,Gov,01,58
17 February 2016,Mount Rogers Primary School,Gov,02,53
17 February 2016,Mount Rogers Primary School,Gov,03,62
17 February 2016,Mount Rogers Primary School,Gov,04,47
17 February 2016,Mount Rogers Primary School,Gov,05,54
17 February 2016,Mount Rogers Primary School,Gov,06,38
17 February 2016,Mount Stromlo High School,Gov,07,150
17 February 2016,Mount Stromlo High School,Gov,08,161
17 February 2016,Mount Stromlo High School,Gov,09,139
17 February 2016,Mount Stromlo High School,Gov,10,140
17 February 2016,Namadgi School,Gov,Preschool,88
17 February 2016,Namadgi School,Gov,Kindergarten,59
17 February 2016,Namadgi School,Gov,01,44
17 February 2016,Namadgi School,Gov,02,59
17 February 2016,Namadgi School,Gov,03,59
17 February 2016,Namadgi School,Gov,04,66
17 February 2016,Namadgi School,Gov,05,61
17 February 2016,Namadgi School,Gov,06,45
17 February 2016,Namadgi School,Gov,07,60
17 February 2016,Namadgi School,Gov,08,46
17 February 2016,Namadgi School,Gov,09,48
17 February 2016,Namadgi School,Gov,10,59
17 February 2016,Narrabundah College,Gov,11,500
17 February 2016,Narrabundah College,Gov,12,482
17 February 2016,Narrabundah Early Childhood School,Gov,Preschool,72
17 February 2016,Narrabundah Early Childhood School,Gov,Kindergarten,20
17 February 2016,Narrabundah Early Childhood School,Gov,01,23
17 February 2016,Narrabundah Early Childhood School,Gov,02,16
17 February 2016,Neville Bonner Primary School,Gov,Preschool,144
17 February 2016,Neville Bonner Primary School,Gov,Kindergarten,107
17 February 2016,Neville Bonner Primary School,Gov,01,98
17 February 2016,Neville Bonner Primary School,Gov,02,85
17 February 2016,Neville Bonner Primary School,Gov,03,53
17 February 2016,Neville Bonner Primary School,Gov,04,31
17 February 2016,Neville Bonner Primary School,Gov,05,37
17 February 2016,Neville Bonner Primary School,Gov,06,33
17 February 2016,Ngunnawal Primary School,Gov,Preschool,115
17 February 2016,Ngunnawal Primary School,Gov,Kindergarten,114
17 February 2016,Ngunnawal Primary School,Gov,01,95
17 February 2016,Ngunnawal Primary School,Gov,02,79
17 February 2016,Ngunnawal Primary School,Gov,03,73
17 February 2016,Ngunnawal Primary School,Gov,04,85
17 February 2016,Ngunnawal Primary School,Gov,05,86
17 February 2016,Ngunnawal Primary School,Gov,06,68
17 February 2016,North Ainslie Primary School,Gov,Preschool,81
17 February 2016,North Ainslie Primary School,Gov,Kindergarten,103
17 February 2016,North Ainslie Primary School,Gov,01,74
17 February 2016,North Ainslie Primary School,Gov,02,88
17 February 2016,North Ainslie Primary School,Gov,03,67
17 February 2016,North Ainslie Primary School,Gov,04,80
17 February 2016,North Ainslie Primary School,Gov,05,57
17 February 2016,North Ainslie Primary School,Gov,06,61
17 February 2016,O'Connor Cooperative School,Gov,Preschool,21
17 February 2016,O'Connor Cooperative School,Gov,Kindergarten,20
17 February 2016,O'Connor Cooperative School,Gov,01,17
17 February 2016,O'Connor Cooperative School,Gov,02,19
17 February 2016,Palmerston District Primary School,Gov,Preschool,96
17 February 2016,Palmerston District Primary School,Gov,Kindergarten,105
17 February 2016,Palmerston District Primary School,Gov,01,82
17 February 2016,Palmerston District Primary School,Gov,02,64
17 February 2016,Palmerston District Primary School,Gov,03,59
17 February 2016,Palmerston District Primary School,Gov,04,57
17 February 2016,Palmerston District Primary School,Gov,05,41
17 February 2016,Palmerston District Primary School,Gov,06,48
17 February 2016,Red Hill Primary School,Gov,Preschool,87
17 February 2016,Red Hill Primary School,Gov,Kindergarten,91
17 February 2016,Red Hill Primary School,Gov,01,73
17 February 2016,Red Hill Primary School,Gov,02,85
17 February 2016,Red Hill Primary School,Gov,03,102
17 February 2016,Red Hill Primary School,Gov,04,98
17 February 2016,Red Hill Primary School,Gov,05,87
17 February 2016,Red Hill Primary School,Gov,06,87
17 February 2016,Richardson Primary School,Gov,Preschool,26
17 February 2016,Richardson Primary School,Gov,Kindergarten,25
17 February 2016,Richardson Primary School,Gov,01,14
17 February 2016,Richardson Primary School,Gov,02,19
17 February 2016,Richardson Primary School,Gov,03,26
17 February 2016,Richardson Primary School,Gov,04,20
17 February 2016,Richardson Primary School,Gov,05,22
17 February 2016,Richardson Primary School,Gov,06,25
17 February 2016,Southern Cross Early Childhood School,Gov,Preschool,87
17 February 2016,Southern Cross Early Childhood School,Gov,Kindergarten,52
17 February 2016,Southern Cross Early Childhood School,Gov,01,36
17 February 2016,Southern Cross Early Childhood School,Gov,02,35
17 February 2016,Taylor Primary School,Gov,Preschool,66
17 February 2016,Taylor Primary School,Gov,Kindergarten,47
17 February 2016,Taylor Primary School,Gov,01,37
17 February 2016,Taylor Primary School,Gov,02,27
17 February 2016,Taylor Primary School,Gov,03,33
17 February 2016,Taylor Primary School,Gov,04,21
17 February 2016,Taylor Primary School,Gov,05,28
17 February 2016,Taylor Primary School,Gov,06,26
17 February 2016,Telopea Park School,Gov,Kindergarten,88
17 February 2016,Telopea Park School,Gov,01,90
17 February 2016,Telopea Park School,Gov,02,80
17 February 2016,Telopea Park School,Gov,03,73
17 February 2016,Telopea Park School,Gov,04,75
17 February 2016,Telopea Park School,Gov,05,68
17 February 2016,Telopea Park School,Gov,06,50
17 February 2016,Telopea Park School,Gov,07,210
17 February 2016,Telopea Park School,Gov,08,202
17 February 2016,Telopea Park School,Gov,09,217
17 February 2016,Telopea Park School,Gov,10,208
17 February 2016,Theodore Primary School,Gov,Preschool,61
17 February 2016,Theodore Primary School,Gov,Kindergarten,51
17 February 2016,Theodore Primary School,Gov,01,45
17 February 2016,Theodore Primary School,Gov,02,27
17 February 2016,Theodore Primary School,Gov,03,42
17 February 2016,Theodore Primary School,Gov,04,42
17 February 2016,Theodore Primary School,Gov,05,33
17 February 2016,Theodore Primary School,Gov,06,40
17 February 2016,Torrens Primary School,Gov,Preschool,66
17 February 2016,Torrens Primary School,Gov,Kindergarten,70
17 February 2016,Torrens Primary School,Gov,01,68
17 February 2016,Torrens Primary School,Gov,02,55
17 February 2016,Torrens Primary School,Gov,03,62
17 February 2016,Torrens Primary School,Gov,04,61
17 February 2016,Torrens Primary School,Gov,05,60
17 February 2016,Torrens Primary School,Gov,06,58
17 February 2016,Turner School,Gov,Preschool,52
17 February 2016,Turner School,Gov,Kindergarten,63
17 February 2016,Turner School,Gov,01,72
17 February 2016,Turner School,Gov,02,66
17 February 2016,Turner School,Gov,03,93
17 February 2016,Turner School,Gov,04,69
17 February 2016,Turner School,Gov,05,84
17 February 2016,Turner School,Gov,06,74
17 February 2016,University of Canberra High School Kaleen,Gov,07,67
17 February 2016,University of Canberra High School Kaleen,Gov,08,83
17 February 2016,University of Canberra High School Kaleen,Gov,09,58
17 February 2016,University of Canberra High School Kaleen,Gov,10,59
17 February 2016,University of Canberra Senior Secondary College Lake Ginninderra,Gov,10,19
17 February 2016,University of Canberra Senior Secondary College Lake Ginninderra,Gov,11,359
17 February 2016,University of Canberra Senior Secondary College Lake Ginninderra,Gov,12,298
17 February 2016,Wanniassa Hills Primary School,Gov,Preschool,61
17 February 2016,Wanniassa Hills Primary School,Gov,Kindergarten,73
17 February 2016,Wanniassa Hills Primary School,Gov,01,47
17 February 2016,Wanniassa Hills Primary School,Gov,02,42
17 February 2016,Wanniassa Hills Primary School,Gov,03,47
17 February 2016,Wanniassa Hills Primary School,Gov,04,44
17 February 2016,Wanniassa Hills Primary School,Gov,05,55
17 February 2016,Wanniassa Hills Primary School,Gov,06,34
17 February 2016,Wanniassa School,Gov,Preschool,43
17 February 2016,Wanniassa School,Gov,Kindergarten,27
17 February 2016,Wanniassa School,Gov,01,28
17 February 2016,Wanniassa School,Gov,02,37
17 February 2016,Wanniassa School,Gov,03,28
17 February 2016,Wanniassa School,Gov,04,29
17 February 2016,Wanniassa School,Gov,05,30
17 February 2016,Wanniassa School,Gov,06,30
17 February 2016,Wanniassa School,Gov,07,57
17 February 2016,Wanniassa School,Gov,08,52
17 February 2016,Wanniassa School,Gov,09,28
17 February 2016,Wanniassa School,Gov,10,52
17 February 2016,Weetangera Primary School,Gov,Preschool,56
17 February 2016,Weetangera Primary School,Gov,Kindergarten,51
17 February 2016,Weetangera Primary School,Gov,01,47
17 February 2016,Weetangera Primary School,Gov,02,54
17 February 2016,Weetangera Primary School,Gov,03,62
17 February 2016,Weetangera Primary School,Gov,04,63
17 February 2016,Weetangera Primary School,Gov,05,63
17 February 2016,Weetangera Primary School,Gov,06,48
17 February 2016,"Woden School, The",Gov,07,16
17 February 2016,"Woden School, The",Gov,08,15
17 February 2016,"Woden School, The",Gov,09,23
17 February 2016,"Woden School, The",Gov,10,26
17 February 2016,"Woden School, The",Gov,11,13
17 February 2016,"Woden School, The",Gov,12,11
17 February 2016,Yarralumla Primary School,Gov,Preschool,81
17 February 2016,Yarralumla Primary School,Gov,Kindergarten,51
17 February 2016,Yarralumla Primary School,Gov,01,58
17 February 2016,Yarralumla Primary School,Gov,02,57
17 February 2016,Yarralumla Primary School,Gov,03,42
17 February 2016,Yarralumla Primary School,Gov,04,36
17 February 2016,Yarralumla Primary School,Gov,05,31
17 February 2016,Yarralumla Primary School,Gov,06,29
05 August 2016,Ainslie School,Gov,Preschool,41
05 August 2016,Ainslie School,Gov,Kindergarten,38
05 August 2016,Ainslie School,Gov,01,51
05 August 2016,Ainslie School,Gov,02,41
05 August 2016,Ainslie School,Gov,03,62
05 August 2016,Ainslie School,Gov,04,56
05 August 2016,Ainslie School,Gov,05,46
05 August 2016,Ainslie School,Gov,06,64
05 August 2016,Alfred Deakin High School,Gov,07,209
05 August 2016,Alfred Deakin High School,Gov,08,213
05 August 2016,Alfred Deakin High School,Gov,09,206
05 August 2016,Alfred Deakin High School,Gov,10,213
05 August 2016,Amaroo School,Gov,Preschool,132
05 August 2016,Amaroo School,Gov,Kindergarten,127
05 August 2016,Amaroo School,Gov,01,115
05 August 2016,Amaroo School,Gov,02,122
05 August 2016,Amaroo School,Gov,03,147
05 August 2016,Amaroo School,Gov,04,151
05 August 2016,Amaroo School,Gov,05,125
05 August 2016,Amaroo School,Gov,06,149
05 August 2016,Amaroo School,Gov,07,184
05 August 2016,Amaroo School,Gov,08,163
05 August 2016,Amaroo School,Gov,09,152
05 August 2016,Amaroo School,Gov,10,133
05 August 2016,Aranda Primary School,Gov,Preschool,86
05 August 2016,Aranda Primary School,Gov,Kindergarten,86
05 August 2016,Aranda Primary School,Gov,01,89
05 August 2016,Aranda Primary School,Gov,02,89
05 August 2016,Aranda Primary School,Gov,03,69
05 August 2016,Aranda Primary School,Gov,04,83
05 August 2016,Aranda Primary School,Gov,05,57
05 August 2016,Aranda Primary School,Gov,06,67
05 August 2016,Arawang Primary School,Gov,Preschool,85
05 August 2016,Arawang Primary School,Gov,Kindergarten,69
05 August 2016,Arawang Primary School,Gov,01,68
05 August 2016,Arawang Primary School,Gov,02,68
05 August 2016,Arawang Primary School,Gov,03,65
05 August 2016,Arawang Primary School,Gov,04,47
05 August 2016,Arawang Primary School,Gov,05,57
05 August 2016,Arawang Primary School,Gov,06,55
05 August 2016,Belconnen High School,Gov,07,98
05 August 2016,Belconnen High School,Gov,08,95
05 August 2016,Belconnen High School,Gov,09,97
05 August 2016,Belconnen High School,Gov,10,82
05 August 2016,Black Mountain School,Gov,07,13
05 August 2016,Black Mountain School,Gov,08,12
05 August 2016,Black Mountain School,Gov,09,15
05 August 2016,Black Mountain School,Gov,10,18
05 August 2016,Black Mountain School,Gov,11,20
05 August 2016,Black Mountain School,Gov,12,18
05 August 2016,Bonython Primary School,Gov,Preschool,33
05 August 2016,Bonython Primary School,Gov,Kindergarten,46
05 August 2016,Bonython Primary School,Gov,01,49
05 August 2016,Bonython Primary School,Gov,02,35
05 August 2016,Bonython Primary School,Gov,03,42
05 August 2016,Bonython Primary School,Gov,04,37
05 August 2016,Bonython Primary School,Gov,05,31
05 August 2016,Bonython Primary School,Gov,06,32
05 August 2016,Calwell High School,Gov,07,76
05 August 2016,Calwell High School,Gov,08,84
05 August 2016,Calwell High School,Gov,09,91
05 August 2016,Calwell High School,Gov,10,89
05 August 2016,Calwell Primary School,Gov,Preschool,59
05 August 2016,Calwell Primary School,Gov,Kindergarten,36
05 August 2016,Calwell Primary School,Gov,01,32
05 August 2016,Calwell Primary School,Gov,02,36
05 August 2016,Calwell Primary School,Gov,03,34
05 August 2016,Calwell Primary School,Gov,04,40
05 August 2016,Calwell Primary School,Gov,05,21
05 August 2016,Calwell Primary School,Gov,06,34
05 August 2016,Campbell High School,Gov,07,198
05 August 2016,Campbell High School,Gov,08,149
05 August 2016,Campbell High School,Gov,09,184
05 August 2016,Campbell High School,Gov,10,186
05 August 2016,Campbell Primary School,Gov,Preschool,70
05 August 2016,Campbell Primary School,Gov,Kindergarten,59
05 August 2016,Campbell Primary School,Gov,01,40
05 August 2016,Campbell Primary School,Gov,02,43
05 August 2016,Campbell Primary School,Gov,03,40
05 August 2016,Campbell Primary School,Gov,04,36
05 August 2016,Campbell Primary School,Gov,05,41
05 August 2016,Campbell Primary School,Gov,06,23
05 August 2016,"Canberra College, The",Gov,11,587
05 August 2016,"Canberra College, The",Gov,12,370
05 August 2016,"Canberra College, The",Gov,Older,62
05 August 2016,Canberra High School,Gov,07,214
05 August 2016,Canberra High School,Gov,08,198
05 August 2016,Canberra High School,Gov,09,200
05 August 2016,Canberra High School,Gov,10,214
05 August 2016,Caroline Chisholm School,Gov,Preschool,45
05 August 2016,Caroline Chisholm School,Gov,Kindergarten,45
05 August 2016,Caroline Chisholm School,Gov,01,35
05 August 2016,Caroline Chisholm School,Gov,02,37
05 August 2016,Caroline Chisholm School,Gov,03,45
05 August 2016,Caroline Chisholm School,Gov,04,47
05 August 2016,Caroline Chisholm School,Gov,05,41
05 August 2016,Caroline Chisholm School,Gov,06,37
05 August 2016,Caroline Chisholm School,Gov,07,86
05 August 2016,Caroline Chisholm School,Gov,08,79
05 August 2016,Caroline Chisholm School,Gov,09,80
05 August 2016,Caroline Chisholm School,Gov,10,87
05 August 2016,Chapman Primary School,Gov,Preschool,88
05 August 2016,Chapman Primary School,Gov,Kindergarten,79
05 August 2016,Chapman Primary School,Gov,01,86
05 August 2016,Chapman Primary School,Gov,02,83
05 August 2016,Chapman Primary School,Gov,03,81
05 August 2016,Chapman Primary School,Gov,04,72
05 August 2016,Chapman Primary School,Gov,05,76
05 August 2016,Chapman Primary School,Gov,06,76
05 August 2016,Charles Conder Primary School,Gov,Preschool,85
05 August 2016,Charles Conder Primary School,Gov,Kindergarten,49
05 August 2016,Charles Conder Primary School,Gov,01,46
05 August 2016,Charles Conder Primary School,Gov,02,30
05 August 2016,Charles Conder Primary School,Gov,03,28
05 August 2016,Charles Conder Primary School,Gov,04,36
05 August 2016,Charles Conder Primary School,Gov,05,45
05 August 2016,Charles Conder Primary School,Gov,06,28
05 August 2016,Charles Weston School,Gov,Preschool,45
05 August 2016,Charles Weston School,Gov,Kindergarten,27
05 August 2016,Charles Weston School,Gov,01,26
05 August 2016,Charles Weston School,Gov,02,12
05 August 2016,Charles Weston School,Gov,03,22
05 August 2016,Charles Weston School,Gov,04,23
05 August 2016,Charles Weston School,Gov,05,16
05 August 2016,Charles Weston School,Gov,06,10
05 August 2016,Charnwood-Dunlop School,Gov,Preschool,94
05 August 2016,Charnwood-Dunlop School,Gov,Kindergarten,40
05 August 2016,Charnwood-Dunlop School,Gov,01,58
05 August 2016,Charnwood-Dunlop School,Gov,02,36
05 August 2016,Charnwood-Dunlop School,Gov,03,27
05 August 2016,Charnwood-Dunlop School,Gov,04,32
05 August 2016,Charnwood-Dunlop School,Gov,05,30
05 August 2016,Charnwood-Dunlop School,Gov,06,25
05 August 2016,Cranleigh School,Gov,Preschool,12
05 August 2016,Cranleigh School,Gov,Kindergarten,17
