District,Authorised inspection station,Address,Suburb,Telephone,Latitude,Longitude,Location
Belconnen,Ultra Tune Belconnen,"2/31 Cohen Street, Belconnen",belconnen,6253 1191,-35.239255,149.061763,"(-35.239255, 149.06176300000001)"
Fyshwick,5 A Mechanical,"Unit 2, 180 Gladstone Street, Fyshwick",fyshwick,6280 6525,-35.328928,149.184794,"(-35.328927999999998, 149.18479400000001)"
Fyshwick,ACT Automotive Services,"Unit 4, 129 Newcastle Street, Fyshwick",fyshwick,6228 1157,-35.327938,149.17613,"(-35.327938000000003, 149.17613)"
Fyshwick,Batalion Motors,"70 Townsville Street, Fyshwick",fyshwick,6280 6075,-35.3299,149.183035,"(-35.329900000000002, 149.18303499999999)"
Fyshwick,Bridgestone Tyre Centre Fyshwick,"96 Maryborough Street, Fyshwick",fyshwick,6280 5454,-35.324272,149.173433,"(-35.324272000000001, 149.17343299999999)"
Fyshwick,Canberra Toyota,"44 Wollongong Street, Fyshwick",fyshwick,6222 1900,-35.325515,149.180255,"(-35.325515000000003, 149.18025499999999)"
Fyshwick,Canberra Tyres & Automotive Pty Ltd,"Unit 4, 21 Iron Knob Street, Fyshwick",fyshwick,6280 6380,-35.337218,149.180666,"(-35.337218, 149.180666)"
Fyshwick,Capital Automotice Services,"Unit 2, 60 Kembla Street, Fyshwick",fyshwick,6280 5785,-35.323313,149.175777,"(-35.323312999999999, 149.17577700000001)"
Fyshwick,Fyshwick Diesel Service,"11B Whyalla Street, Fyshwick",fyshwick,6280 0027,-35.333742,149.173284,"(-35.333742000000001, 149.173284)"
Fyshwick,Jax Quickfit Tyres,"36 Gladstone Street, Fyshwick",fyshwick,6228 1533,-35.322383,149.174828,"(-35.322383000000002, 149.17482799999999)"
Fyshwick,Kevins Auto Repairs,"2 Ipswich Street, Fyshwick",fyshwick,6280 6994,-35.329763,149.162427,"(-35.329763, 149.16242700000001)"
Fyshwick,Kmart Trye & Auto Service Fyshwick,"Unit 1/2 Kembla Street, Fyshwick",fyshwick,6228 1244,-35.325609,149.17887,"(-35.325609, 149.17887)"
Fyshwick,L K Automotive,"Unit 7, 22 Geelong Street, Fyshwick",fyshwick,6280 4998,-35.331815,149.170148,"(-35.331814999999999, 149.17014800000001)"
Fyshwick,McGuinness Motors,"69 Newcastle Street, Fyshwick",fyshwick,6239 1048,-35.330251,149.177921,"(-35.330250999999997, 149.177921)"
Fyshwick,MIT Automotive,"72 Kembla Street, Fyshwick",fyshwick,1300 727 320,-35.323133,149.174917,"(-35.323132999999999, 149.17491699999999)"
Fyshwick,On Point Performance Pty Ltd,"Unit 6, 28 Geelong Street, Fyshwick",fyshwick,6174 1617,-35.33156,149.170628,"(-35.331560000000003, 149.17062799999999)"
Fyshwick,Red Book Inspect Pty Ltd,"Unit 2/15 Quilpie Crescent, Fyshwick",fyshwick,0428 026 361,-35.323464,149.17231,"(-35.323464000000001, 149.17231000000001)"
Fyshwick,Reliance Automotive Services,"9 Isa Street, Fyshwick",fyshwick,6280 5972,-35.326982,149.171453,"(-35.326982000000001, 149.17145300000001)"
Fyshwick,R.I.K. Auto Repairs,"11A Yallourn Street, Fyshwick",fyshwick,6162 4312,-35.332877,149.170253,"(-35.332877000000003, 149.170253)"
Fyshwick,Rusden Europro Automotive,"22 Lyle Street, Fyshwick",fyshwick,6280 6263,-35.328271,149.175284,"(-35.328271000000001, 149.175284)"
Gungahlin,Canberra Toyota Gungahlin,"4 O'Brien Place, Gungahlin",gungahlin,6221 3538,-35.184126,149.125248,"(-35.184125999999999, 149.125248)"
Gungahlin,Gold Creek Motors,"6 O'Brien Place, Gungahlin",gungahlin,6107 3333,-35.184685,149.125164,"(-35.184685000000002, 149.12516400000001)"
Gungahlin,Goodyear Autocare,"1 O'Brien Place, Gungahlin",gungahlin,6255 4955,-35.185022,149.125541,"(-35.185021999999996, 149.125541)"
Gungahlin,Gungahlin Auto Group,"Unit 1, 5 O'Brien Place, Gungahlin",gungahlin,6255 7822,-35.185124,149.124781,"(-35.185124000000002, 149.12478100000001)"
Gungahlin,Kmart Tyre & Auto Service Gungahlin,"Gungahlin Village, Efkarpidis Street, Gungahlin",gungahlin,6242 5498,-35.186799,149.134843,"(-35.186799000000001, 149.13484299999999)"
Gungahlin,Paul Whyte Automotive,"Unit 3, 4 Obrien Place, Gungahlin",gungahlin,6241 4047,-35.184126,149.125248,"(-35.184125999999999, 149.125248)"
Mitchell,ACT Auto Worx,"Unit 1B, 86 Hoskins Street, Mitchell",mitchell,0418 911 767,-35.210059,149.139171,"(-35.210059000000001, 149.139171)"
