postcode,postcode1,suburb,centile,liveable_h,rank,state,school,type,latitude,longitude,households,income,suburb.y,suburb.x,state.x,state.y,adultpop
2615-fraser,2615,fraser,87,1,96,ACT,0.72,Delivery Area,-35.192811,149.042736,1598507,2489.89,fraser,fraser,ACT,ACT,1898.811526
2615-higgins,2615,higgins,89,1,80,ACT,0.71,Delivery Area,-35.231052,149.027686,2015422,1966.27,higgins,higgins,ACT,ACT,3031.591611
2615-holt,2615,holt,90,1,64,ACT,0.73,Delivery Area,-35.225448,149.016787,3094438.5,1716.27,holt,holt,ACT,ACT,5332.643585
2615-kippax,2615,kippax,78,0,135,ACT,0.69,Delivery Area,-35.221958,149.020133,0,0,kippax,kippax,ACT,ACT,0
2615-latham,2615,latham,94,1,35,ACT,0.76,Delivery Area,-35.219561,149.032478,2421412,2041.66,latham,latham,ACT,ACT,3507.773318
2615-macgregor,2615,macgregor,83,1,122,ACT,0.75,Delivery Area,-35.215852,149.014395,0,0,macgregor,macgregor,ACT,ACT,0
2615-melba,2615,melba,84,1,117,ACT,0.64,Delivery Area,-35.211034,149.049966,2319282.5,2225.8,melba,melba,ACT,ACT,3081.871667
2615-spence,2615,spence,85,1,112,ACT,0.71,Delivery Area,-35.199588,149.062181,1810574,2213.42,spence,spence,ACT,ACT,2419.357988
2616-belconnen,2616,belconnen,89,1,81,ACT,0.74,Post Office Boxes,-35.248442,149.070336,4620981,1777.3,belconnen,belconnen,ACT,ACT,7689.890916
2617-belconnen,2617,belconnen,90,1,65,ACT,0.81,Delivery Area,-35.236234,149.067347,4620981,1777.3,belconnen,belconnen,ACT,ACT,7689.890916
2617-bruce,2617,bruce,84,1,118,ACT,0.65,Delivery Area,-35.242534,149.077275,5002217.5,2251.22,bruce,bruce,ACT,ACT,6571.899082
2617-evatt,2617,evatt,86,1,105,ACT,0.7,Delivery Area,-35.214897,149.065527,3858485,2268.36,evatt,evatt,ACT,ACT,5030.963249
2617-giralang,2617,giralang,87,1,97,ACT,0.81,Delivery Area,-35.209934,149.098783,2417477,2287.11,giralang,giralang,ACT,ACT,3126.236422
2617-kaleen,2617,kaleen,89,1,82,ACT,0.83,Delivery Area,-35.219211,149.103465,5182760,2288.19,kaleen,kaleen,ACT,ACT,6699.078048
2617-lawson,2617,lawson,90,1,66,ACT,0.73,Delivery Area,-35.225439,149.100291,99110,3003.33,lawson,lawson,ACT,ACT,97.60246162
2617-mckellar,2617,mckellar,91,1,49,ACT,0.74,Delivery Area,-35.219085,149.072475,2053495.5,2477.08,mckellar,mckellar,ACT,ACT,2451.892142
2617-university of canberra,2617,university of canberra,89,1,83,ACT,0.84,Delivery Area,-35.239771,149.085896,0,0,university of canberra,university of canberra,ACT,ACT,0
2618-hall,2618,hall,90,1,67,ACT,0.83,Delivery Area,-35.522639,149.08098,203008,2416.76,hall,hall,ACT,ACT,248.4426296
2620-hume,2620,hume,94,1,36,ACT,0.87,Delivery Area,-35.381752,149.176445,-,-,hume,hume,ACT,ACT,0
2620-kowen forest,2620,kowen forest,95,1,30,ACT,0.9,Delivery Area,-35.319673,149.248421,0,0,kowen forest,kowen forest,ACT,ACT,0
2620-oaks estate,2620,oaks estate,96,1,20,ACT,0.76,Delivery Area,-35.341151,149.221576,0,0,oaks estate,oaks estate,ACT,ACT,0
2620-tharwa,2620,tharwa,97,1,11,ACT,0.78,Delivery Area,-35.434676,149.125536,0,0,tharwa,tharwa,ACT,ACT,0
2620-top naas,2620,top naas,98,1,2,ACT,0.78,Delivery Area,-35.522639,149.08098,0,0,top naas,top naas,ACT,ACT,0
2900-greenway,2900,greenway,90,1,68,ACT,0.75,Delivery Area,-35.417991,149.069414,1731286.5,2063.51,greenway,greenway,ACT,ACT,2481.468645
2900-tuggeranong,2900,tuggeranong,92,1,46,ACT,0.83,Delivery Area,-35.415165,149.0658,24595.5,2732.83,tuggeranong,tuggeranong,ACT,ACT,26.61885317
2902-kambah,2902,kambah,94,1,37,ACT,0.87,Delivery Area,-35.378876,149.045895,10818894,2191.39,kambah,kambah,ACT,ACT,14601.91979
2903-erindale centre,2903,erindale centre,89,1,84,ACT,0.76,Delivery Area,-35.403016,149.097207,0,0,erindale centre,erindale centre,ACT,ACT,0
2903-oxley,2903,oxley,87,1,98,ACT,0.67,Delivery Area,-35.414349,149.079888,0,0,oxley,oxley,ACT,ACT,0
2903-wanniassa,2903,wanniassa,89,1,85,ACT,0.82,Delivery Area,-35.401661,149.099239,5596828,2220.96,wanniassa,wanniassa,ACT,ACT,7453.278887
2904-fadden,2904,fadden,96,1,21,ACT,0.91,Delivery Area,-35.400996,149.115023,2756921.5,2990.15,fadden,fadden,ACT,ACT,2726.953625
2904-gowrie,2904,gowrie,94,1,38,ACT,0.89,Delivery Area,-35.413419,149.108473,0,0,gowrie,gowrie,ACT,ACT,0
2904-macarthur,2904,macarthur,97,1,12,ACT,0.84,Delivery Area,-35.408559,149.131961,1199418,2869.42,macarthur,macarthur,ACT,ACT,1236.297847
2904-monash,2904,monash,91,1,50,ACT,0.84,Delivery Area,-35.416103,149.089758,3947631,2178.6,monash,monash,ACT,ACT,5359.262438
2905-bonython,2905,bonython,95,1,31,ACT,0.79,Delivery Area,-35.429018,149.081746,2884252.5,2195.02,bonython,bonython,ACT,ACT,3886.352563
2905-calwell,2905,calwell,91,1,51,ACT,0.71,Delivery Area,-35.43528,149.11229,4354714,2430.09,calwell,calwell,ACT,ACT,5300.109431
2905-chisholm,2905,chisholm,93,1,43,ACT,0.73,Delivery Area,-35.424193,149.122569,3608131,2241.08,chisholm,chisholm,ACT,ACT,4761.817067
2905-gilmore,2905,gilmore,98,1,3,ACT,0.89,Delivery Area,-35.416056,149.134017,1918132.5,2272.67,gilmore,gilmore,ACT,ACT,2496.256897
2905-isabella plains,2905,isabella plains,85,1,113,ACT,0.79,Delivery Area,-35.431945,149.092689,2979496,2086.48,isabella plains,isabella plains,ACT,ACT,4223.524703
2905-richardson,2905,richardson,84,1,119,ACT,0.76,Delivery Area,-35.427581,149.109787,1904780.5,2007.14,richardson,richardson,ACT,ACT,2806.810184
2905-theodore,2905,theodore,83,1,123,ACT,0.75,Delivery Area,-35.448697,149.124445,2764111.5,2336.53,theodore,theodore,ACT,ACT,3498.900367
